CSI Index: 1
Subcarrier,Amplitude,Phase
60,20.223749,1.719686
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 9
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,28.653097,0.510488
5,28.301943,0.558599
6,28.84441,0.588003
7,30.0,0.643501
8,29.832869,0.690446
9,30.479502,0.715744
10,30.479502,0.715744
11,30.413813,0.762147
12,30.413813,0.762147
13,29.698484,0.785398
14,29.698484,0.785398
15,29.698484,0.785398
16,29.0,0.809784
17,29.0,0.809784
18,28.284271,0.785398
19,27.586229,0.759763
20,26.907248,0.732815
21,28.319605,0.73544
22,28.425341,0.68573
23,27.802877,0.657889
24,28.017851,0.607802
25,28.017851,0.607802
26,28.301943,0.558599
27,29.15476,0.54042
28,29.681644,0.569313
29,30.016663,0.523278
30,30.016663,0.523278
31,29.529646,0.493941
32,0.0,0.0
33,29.529646,0.493941
34,29.068884,0.463648
35,27.730848,0.44752
36,27.730848,0.44752
37,27.313,0.414507
38,26.0,0.394791
39,25.632011,0.358771
40,24.351591,0.334737
41,24.351591,0.334737
42,23.086792,0.308053
43,23.086792,0.308053
44,22.803509,0.266252
45,21.587032,0.233743
46,21.377558,0.188221
47,22.36068,0.179853
48,22.36068,0.179853
49,21.377558,0.188221
50,22.203604,0.135528
51,21.213203,0.141897
52,21.213203,0.141897
53,21.377558,0.188221
54,21.377558,0.188221
55,20.396078,0.197396
56,20.615528,0.244979
57,20.615528,0.244979
58,20.615528,0.244979
59,19.924858,0.305879
60,20.248457,0.35299
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 10
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,29.546574,-2.723368
5,29.966648,-2.692869
6,29.529646,-2.647651
7,30.016663,-2.618314
8,30.232433,-2.544416
9,31.622776,-2.536048
10,30.0,-2.498091
11,32.015621,-2.466852
12,31.400637,-2.491722
13,30.610456,-2.471954
14,30.610456,-2.471954
15,30.610456,-2.471954
16,29.832869,-2.451146
17,29.206163,-2.477546
18,28.600698,-2.505085
19,28.600698,-2.505085
20,28.84441,-2.55359
21,28.84441,-2.55359
22,29.15476,-2.601173
23,28.653097,-2.631104
24,29.529646,-2.647651
25,29.068884,-2.677945
26,29.546574,-2.723368
27,30.463093,-2.736701
28,30.083218,-2.767259
29,31.016125,-2.779048
30,31.016125,-2.779048
31,31.016125,-2.779048
32,0.0,0.0
33,31.622776,-2.819842
34,29.410883,-2.830594
35,29.410883,-2.830594
36,28.160255,-2.853537
37,27.892651,-2.887918
38,26.925823,-2.878598
39,25.495098,-2.944197
40,25.317978,-2.982937
41,24.331051,-2.976444
42,24.186773,-3.017238
43,24.186773,-3.017238
44,23.086792,-3.054854
45,23.021729,-3.098142
46,23.0,3.141593
47,22.0,3.141593
48,23.021729,3.098142
49,22.022715,3.096169
50,22.022715,3.096169
51,22.022715,3.096169
52,22.090721,3.050933
53,22.022715,3.096169
54,22.022715,3.096169
55,21.023796,3.09401
56,21.0,3.141593
57,21.023796,-3.09401
58,21.023796,-3.09401
59,21.095022,-3.046641
60,21.095022,-3.046641
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 11
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
